SAMPLE	SAMPLE	mor	acut	lat	long	Species	Population	Longname
Index09_DM-Ad_GCATG	1015	0.99999	0.00001	16.867759	-88.892988	M	Morelets_D	C. moreletii
Index09_DM-Ad_GGTTG	942	0.177864	0.822136	17.247233	-88.3394	HY	Admixed	hybrid
Index09_DM-Ad_TCGAT	1180	0.941862	0.058138	16.829933	-88.29095	M	Morelets_C	C. moreletii
Index09_DM-Ad_TGCAT	815	0.00001	0.99999	17.764317	-88.0298	A	Acutus_Offshore	C. acutus
Index10_DM-Ad_AACCA	1045	0.99999	0.00001	17.378664	-89.070406	M	Morelets_E	C. moreletii
Index10_DM-Ad_AAGGA	975	0.929609	0.070391	16.818327	-88.320508	M	Morelets_C	C. moreletii
Index10_DM-Ad_CAACC	725	0.00001	0.99999	18.081583	-87.922017	A	Acutus_Offshore	C. acutus
Index10_DM-Ad_CGATC	1156	0.593853	0.406147	16.641256	88.360205	HY	Admixed	hybrid
Index10_DM-Ad_GCATG	1016	0.99999	0.00001	16.86687	-88.89347	M	Morelets_D	C. moreletii
Index10_DM-Ad_GGTTG	915	0.11285	0.88715	16.373156	-88.510065	HY	Admixed	hybrid
Index10_DM-Ad_TCGAT	1301	0.99999	0.00001	17.530873	-88.321838	M	Morelets_B	C. moreletii
Index10_DM-Ad_TGCAT	1601	0.99999	0.00001	18.0856	-88.461683	M	Morelets_A	C. moreletii
Index11_DM-Ad_AACCA	1046	0.99999	0.00001	16.830722	-88.947972	M	Morelets_D	C. moreletii
Index11_DM-Ad_AAGGA	700(13)	0.00001	0.99999	17.998017	-87.960433	A	Acutus_Offshore	C. acutus
Index11_DM-Ad_CAACC	923	0.452079	0.547921	16.56975	-88.3836233	HY	Admixed	hybrid
Index11_DM-Ad_CGATC	1158	0.762362	0.237638	16.823026	-88.314371	HY	Admixed	hybrid
Index11_DM-Ad_GCATG	1023	0.99999	0.00001	16.851009	-88.911726	M	Morelets_D	C. moreletii
Index11_DM-Ad_TCGAT	726	0.00001	0.99999	18.077467	-87.912367	A	Acutus_Offshore	C. acutus
Index11_DM-Ad_TGCAT	924	0.178467	0.821533	16.284233	-88.738133	HY	Admixed	hybrid
Index12_DM-Ad_AACCA	1047	0.99999	0.00001	16.802472	-88.938333	M	Morelets_D	C. moreletii
Index12_DM-Ad_CGATC	1161	0.841942	0.158058	16.644159	-88.376829	HY	Admixed	hybrid
Index12_DM-Ad_GCATG	1025	0.989803	0.010197	16.851272	-88.919175	M	Morelets_D	C. moreletii
Index12_DM-Ad_GGTTG	920	0.102819	0.897181	16.5622	-88.397383	HY	Admixed	hybrid
Index12_DM-Ad_TGCAT	4	0.00001	0.99999	17.897365	-87.992506	A	Acutus_Offshore	C. acutus
